station_name,station_id,agency,city,county,latitude,longitude,station_type,total_amenities,diversity_score,nearest_amenity_m,grocery,park,clinic,pharmacy,hospital,doctors,childcare,kindergartens,convenience,median_income,total_pop,total_households,households_no_vehicle,pct_no_vehicle,pct_nonwhite,GEOID,amenities_per_1000,healthcare_total,equity_flag,disadvantage_score,access_score,equity_concern
Capitol Caltrain Station,capitol,Caltrain,,,37.284016,-121.841899,core,10,2,301.6610687253651,1,3,0,0,0,0,0,1,5,148438.0,2048,783,152,19.4125159642401,90.13671875,6085504413,4.8828125,0,True,0.7683011432855323,-0.4280806516339958,False
Tamien Caltrain Station,tamien,Caltrain,,,37.31269,-121.8847,core,10,3,168.06396092023127,1,3,0,1,0,1,0,0,4,246048.0,5595,1988,84,4.225352112676056,62.377122430741736,6085510801,1.7873100983020551,0,True,-0.5050390146229894,-0.4280806516339958,False
Castro Valley,CAST,BART,Castro Valley,alameda,37.690746,-122.075602,core,10,3,423.3600430150664,5,1,0,2,0,0,0,0,2,160063.0,4141,1676,177,10.560859188544152,46.87273605409322,6001421900,2.414875633904854,0,True,-0.1598836055045102,-0.4280806516339958,False
Union City,UCTY,BART,Union City,alameda,37.59063,-122.017388,peripheral,10,2,107.94469971567136,5,2,0,0,0,1,0,0,2,250001.0,3611,1131,8,0.707338638373121,85.29493215175852,6001443200,2.7693159789531987,0,True,-0.22409011391653288,-0.4280806516339958,False
Hayward,HAYW,BART,Hayward,alameda,37.669723,-122.087018,core,10,3,262.0024248260261,1,4,0,1,0,0,0,0,4,96200.0,2337,924,172,18.614718614718615,66.32434745400086,6001402200,4.278990158322636,0,True,0.6584751599698214,-0.4280806516339958,False
MacArthur,MCAR,BART,Oakland,alameda,37.829065,-122.26704,core,10,1,205.23647264534532,0,3,0,0,0,0,0,1,6,37891.0,3361,957,249,26.01880877742947,93.39482296935437,6075060502,2.9753049687592976,0,True,1.5565982870966308,-0.4280806516339958,False
Rockridge,ROCK,BART,Oakland,alameda,37.844702,-122.251371,core,10,2,143.53636346657814,2,4,0,0,0,0,1,1,2,147944.0,4128,1434,149,10.390516039051604,74.27325581395348,6075025900,2.4224806201550386,0,True,0.34528867610783104,-0.4280806516339958,False
Balboa Park,BALB,BART,San Francisco,sanfrancisco,37.721585,-122.447506,core,10,3,106.35204325510544,2,2,1,0,0,0,0,0,5,219107.0,4269,2345,720,30.703624733475483,31.974701335207307,6075013101,2.3424689622862496,1,True,-0.34630067185865226,-0.4280806516339958,False
Lawrence,lawrence,Caltrain,,,37.3707,-121.9969,core,9,2,372.7189893278287,2,4,0,0,0,1,0,1,1,114574.0,5137,1788,56,3.131991051454139,58.39984426708196,6085506606,1.7519953280124587,0,True,0.13714674396465984,-0.5001690773769347,False
San Carlos,san_carlos,Caltrain,,,37.508033,-122.2602,core,9,4,162.12857950104942,1,3,1,1,0,0,0,0,3,196447.0,3368,1132,13,1.1484098939929328,36.965558194774346,6081603100,2.672209026128266,1,False,-0.6982024381134689,-0.5001690773769347,False
Hillsdale,hillsdale,Caltrain,,,37.542392678,-122.301612061,core,9,2,275.92389052653186,0,7,1,0,0,0,0,0,1,134924.0,4398,1514,42,2.7741083223249667,57.503410641200546,6081610302,2.0463847203274215,1,True,0.003445628421687922,-0.5001690773769347,False
Colma,COLM,BART,Colma,sanmateo,37.684638,-122.466233,core,8,2,409.2877007839527,0,1,0,1,0,0,0,0,6,247063.0,1567,815,161,19.754601226993863,70.64454371410338,6075061504,5.105296745373325,0,True,-0.0845050857440542,-0.5722575031198738,False
El Cerrito del Norte,DELN,BART,El Cerrito,contracosta,37.925086,-122.316794,peripheral,8,3,187.4950463144668,1,6,0,1,0,0,0,0,0,229297.0,2348,885,33,3.728813559322034,46.678023850085175,6075030600,3.4071550255536627,0,False,-0.6746854078913692,-0.5722575031198738,False
Richmond,RICH,BART,Richmond,contracosta,37.936853,-122.353099,peripheral,8,4,388.8380591627137,3,1,1,2,1,0,0,0,0,69671.0,3199,1594,1017,63.80175658720201,70.67833698030634,6075017602,2.500781494216943,2,True,1.7277648988331589,-0.5722575031198738,True
Milpitas,MLPT,BART,Milpitas,santaclara,37.410277,-121.891081,peripheral,8,2,350.92896473123295,1,3,0,0,0,1,0,0,3,214412.0,4302,652,0,0.0,74.75592747559274,6085504508,1.8596001859600184,0,True,-0.2104418329059015,-0.5722575031198738,False
Pittsburg/Bay Point,PITT,BART,Pittsburg,contracosta,38.018914,-121.945154,peripheral,8,3,237.3945508170436,1,4,0,1,0,0,1,0,1,118109.0,6599,2610,54,2.068965517241379,33.459615093195936,6013320004,1.2123048946810122,0,False,-0.3042036182280395,-0.5722575031198738,False
Orinda,ORIN,BART,Orinda,contracosta,37.878361,-122.183791,peripheral,7,2,208.96370882941895,0,1,0,1,1,1,0,0,3,77524.0,1458,675,358,53.03703703703704,76.40603566529492,6075010702,4.801097393689987,1,True,1.5735298239998443,-0.6443459288628127,True
